model_name,problem,diagram,level,total_tests,successful_tests,success_rate_percent
Gemma 3 4B,p120,bpmn,3,1000,924,92.4
Gemma 3 4B,p120,fc,1,1000,0,0.0
Gemma 3 4B,p120,fc,2,1000,0,0.0
Gemma 3 4B,p120,fc,3,1000,0,0.0
Gemma 3 4B,p126,block,1,1000,921,92.1
Gemma 3 4B,p126,bpmn,1,1000,752,75.2
Gemma 3 4B,p126,bpmn,2,1000,1000,100.0
Gemma 3 4B,p126,bpmn,3,1000,597,59.7
Gemma 3 4B,p126,fc,1,1000,921,92.1
Gemma 3 4B,p126,fc,2,1000,921,92.1
Gemma 3 4B,p126,fc,3,1000,496,49.6
Gemma 3 4B,p131,block,1,1000,1000,100.0
Gemma 3 4B,p131,bpmn,1,1000,1000,100.0
Gemma 3 4B,p131,bpmn,2,1000,1000,100.0
Gemma 3 4B,p131,bpmn,3,1000,1000,100.0
Gemma 3 4B,p131,fc,1,1000,80,8.0
Gemma 3 4B,p131,fc,2,1000,879,87.9
Gemma 3 4B,p147,block,1,1000,726,72.6
Gemma 3 4B,p147,bpmn,1,1000,36,3.6
Gemma 3 4B,p147,bpmn,2,1000,36,3.6
Gemma 3 4B,p147,bpmn,3,1000,70,7.0
Gemma 3 4B,p147,fc,1,1000,114,11.4
Gemma 3 4B,p147,fc,2,1000,169,16.9
Gemma 3 4B,p147,fc,3,1000,0,0.0
Gemma 3 4B,p150,block,1,1000,1000,100.0
Gemma 3 4B,p150,bpmn,1,1000,1000,100.0
Gemma 3 4B,p150,bpmn,2,1000,1000,100.0
Gemma 3 4B,p150,bpmn,3,1000,1000,100.0
Gemma 3 4B,p150,fc,1,1000,0,0.0
Gemma 3 4B,p150,fc,2,1000,0,0.0
Gemma 3 4B,p150,fc,3,1000,0,0.0
Gemma 3 4B,p155,block,1,1000,1000,100.0
Gemma 3 4B,p155,bpmn,1,1000,1000,100.0
Gemma 3 4B,p155,bpmn,2,1000,1000,100.0
Gemma 3 4B,p155,bpmn,3,1000,0,0.0
Gemma 3 4B,p155,fc,1,1000,1000,100.0
Gemma 3 4B,p155,fc,2,1000,1000,100.0
Gemma 3 4B,p155,fc,3,1000,72,7.2
LLaVA 1.5 7B 4bit,p084,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p084,bpmn,1,1000,2,0.2
LLaVA 1.5 7B 4bit,p084,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p084,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p084,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p084,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p084,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p106,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,fc,1,1000,23,2.3
LLaVA 1.5 7B 4bit,p108,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p108,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p119,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p120,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p120,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p120,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p120,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p120,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p126,block,1,1000,248,24.8
LLaVA 1.5 7B 4bit,p126,bpmn,1,1000,586,58.6
LLaVA 1.5 7B 4bit,p126,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p126,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p126,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p131,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p147,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p150,fc,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,block,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,bpmn,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,bpmn,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,bpmn,3,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,fc,1,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,fc,2,1000,0,0.0
LLaVA 1.5 7B 4bit,p155,fc,3,1000,0,0.0
